CategoryLink,IsCompelete,ProductQuantity,PagesAreCrawled,CrawlTime
https://shopee.vn/Áo-Khoác-cat.11035567.11035568.11035570,0,1330,"[23, 9, 7, 5, 22, 21, 20, 16, 15, 19, 3, 10, 8, 0, 6, 18, 13, 12, 4, 17, 1, 14, 24]",2022-10-02 23:33:48.265436
https://shopee.vn/Khác-cat.11035567.11035568.11035571,0,236,"[1, 3, 2, 0]",2022-10-02 23:39:34.085279
https://shopee.vn/Áo-Vest-cat.11035567.11035572.11035573,0,224,"[4, 3, 2, 0]",2022-10-02 23:42:35.448955
https://shopee.vn/Bộ-Com-Lê-cat.11035567.11035572.11035576,0,265,"[4, 1, 2, 3, 0]",2022-10-02 23:45:16.489840
https://shopee.vn/Bộ-Blazer-cat.11035567.11035572.11035574,0,408,"[4, 1, 0, 2, 3, 6, 5]",2022-10-02 23:48:01.160044
https://shopee.vn/Áo-Ghi-Lê-cat.11035567.11035572.11035575,0,216,"[3, 4, 1, 0]",2022-10-02 23:51:08.403319
https://shopee.vn/Khác-cat.11035567.11035572.11035577,0,27,[0],2022-10-02 23:53:36.166712
https://shopee.vn/Áo-Hoodie-cat.11035567.11035578.11035579,1,2580,"[0, 25, 5, 36, 30, 31, 32, 3, 26, 38, 22, 42, 40, 20, 13, 4, 44, 45, 43, 23, 41, 46, 37, 16, 10, 8, 34, 6, 35, 14, 7, 33, 28, 48, 11, 24, 12, 49, 2, 39, 1, 9, 27]",2022-10-02 23:56:48.438888
https://shopee.vn/Áo-Nỉ-cat.11035567.11035578.11035580,1,2640,"[43, 38, 19, 39, 1, 16, 0, 42, 37, 27, 22, 21, 2, 20, 28, 5, 24, 44, 18, 15, 30, 11, 32, 40, 47, 25, 49, 17, 34, 45, 36, 29, 26, 14, 9, 41, 48, 35, 3, 6, 13, 46, 8, 12]",2022-10-02 23:59:39.687171
https://shopee.vn/Áo-Len-cat.11035567.11035578.11035581,0,1303,"[26, 19, 14, 18, 3, 23, 10, 1, 2, 11, 9, 4, 8, 17, 13, 27, 12, 22, 15, 20, 0, 16]",2022-10-03 00:02:32.451988
